id,year_level,colour_in
1,Year 11,1
2,Year 11,1
3,Year 11,1
4,Year 11,1
5,Year 11,1
6,Year 11,1
7,Year 11,1
8,Year 11,1
9,Year 11,1
10,Year 11,1
11,Year 11,1
12,Year 11,1
13,Year 11,0
14,Year 11,0
15,Year 11,0
16,Year 11,0
17,Year 11,0
18,Year 11,0
19,Year 11,0
20,Year 11,0
21,Year 11,0
22,Year 11,0
23,Year 11,0
24,Year 11,0
25,Year 11,0
26,Year 11,0
27,Year 11,0
28,Year 11,0
29,Year 11,0
30,Year 11,0
31,Year 11,0
32,Year 11,0
33,Year 11,0
34,Year 11,0
35,Year 11,0
36,Year 11,0
37,Year 11,0
38,Year 11,0
39,Year 11,0
40,Year 11,0
41,Year 11,0
42,Year 11,0
43,Year 11,0
44,Year 11,0
45,Year 11,0
46,Year 11,0
47,Year 11,0
48,Year 11,0
49,Year 11,0
50,Year 11,0
51,Year 11,0
52,Year 11,0
53,Year 11,0
54,Year 11,0
55,Year 11,0
56,Year 11,0
57,Year 11,0
58,Year 11,0
59,Year 11,0
60,Year 11,0
61,Year 11,0
62,Year 11,0
63,Year 11,0
64,Year 11,0
65,Year 11,0
66,Year 11,0
67,Year 11,0
68,Year 11,0
69,Year 11,0
70,Year 11,0
71,Year 11,0
72,Year 11,0
73,Year 11,0
74,Year 11,0
75,Year 11,0
76,Year 11,0
77,Year 11,0
78,Year 11,0
79,Year 11,0
80,Year 11,0
81,Year 11,0
82,Year 11,0
83,Year 11,0
84,Year 11,0
85,Year 11,0
86,Year 11,0
87,Year 11,0
88,Year 11,0
89,Year 11,0
90,Year 11,0
91,Year 11,0
92,Year 11,0
93,Year 11,0
94,Year 11,0
95,Year 11,0
96,Year 11,0
97,Year 11,0
98,Year 11,0
99,Year 11,0
100,Year 11,0
